,none,4,m_euclid
0,2e-06,0.0,0.0
1,5e-06,0.0,0.0
2,1e-05,0.0,0.0
3,2e-05,0.0,0.0
4,5e-05,0.0,0.0
5,0.0001,0.0,0.0
6,0.0002,0.0,0.0
7,0.0005,0.0,0.0
8,0.001,0.0,0.0
9,0.002,0.0,0.0
10,0.005,0.0,0.0
11,0.01,0.0,0.0
12,0.02,0.0,0.0
13,0.05,0.000599250936329588,0.0
14,0.07,0.002546816479400749,0.000149812734082397
15,0.09,0.007790262172284644,0.001647940074906367
16,0.1,0.018426966292134833,0.00149812734082397
17,0.2,0.1598501872659176,0.11250936329588015
18,0.3,0.3836704119850187,0.3955056179775281
19,0.4,0.46831460674157305,0.47250936329588017
20,0.49,0.4850936329588015,0.5056179775280899
